,personnel-costs-row.amount,material-costs-row.amount,rent-costs-row.amount,service-purchase-costs-row.amount,steamship-costs-row.amount,other-costs-row.amount,equipment-costs-row.amount,coordination-costs-row.amount,other-costs-row-2.amount,personnel-costs-row.amount-18,material-costs-row.amount-18,menotamount,project-incomes-row.amount,own-income-row.amount,eu-programs-income-row.amount,other-public-financing-income-row.amount,private-financing-income-row.amount,tulotamount,summaamount,SummienTodennakoisyys,radioButton-good-practices,organization_name,project_name,ei-tuotos-tyyppia,henkiloestoeliikkuvuudet-lkm,julkaisut,kasikirja,koulutus,muu-tuotos,ohjelma,opiskelijaliikkuvuudet-lkm,raportti,selvitys,tapahtuma,toimintamalli,tutkimus,verkkosivut,min,max,std,mean,sum,haku_id,osa_alue_id,osa_alue_nimi
58Lahden Rudolf Steiner -koulun Kannatusyhdistys ry.Tutoropettajien toiminta,2545.0,0.0,0.0,726.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0,3633.0,3633.0,0.0,0.0,0.0,0.0,3633.0,0.0,93.22757362957205,,Lahden Rudolf Steiner -koulun Kannatusyhdistys ry.,Tutoropettajien toiminta,1.0,,,,,,,,,,,,,,0.1,0.1,,0.1,0.0,58,2,02 Esi- ja perusopetus
58Lahden kristillisen koulun kannatusyhdistys ryTutor-kurko,1535.0,0.0,0.0,0.0,196.0,285.0,0.0,0.0,0.0,0.0,0.0,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,-2016.0,98.16512388903669,,Lahden kristillisen koulun kannatusyhdistys ry,Tutor-kurko,,,,,,,,,,,1.0,2.0,,,0.0,0.5,0.3535533905932738,0.2833333333333334,3.0,58,2,02 Esi- ja perusopetus
"58Lahden kaupunki, Sivistystoimiala, Lasten-ja nuorten vastuualue, perusopetuspal.UPO - Lahti 2.",131315.0,0.0,0.0,15232.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,146808.0,0.0,0.0,0.0,0.0,0.0,0.0,-146808.0,77.84235795745099,,"Lahden kaupunki, Sivistystoimiala, Lasten-ja nuorten vastuualue, perusopetuspal.",UPO - Lahti 2.,,,1.0,,,,,,,,,,2.0,,0.0,0.3,,0.1,3.0,58,2,02 Esi- ja perusopetus
58Kyyjärven kuntaUusi peruskoulu; Hakuryhmä 2: Tutoropettajien toiminta,1864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1864.0,0.0,0.0,0.0,0.0,0.0,0.0,-1864.0,98.04535231342822,,Kyyjärven kunta,Uusi peruskoulu; Hakuryhmä 2: Tutoropettajien toiminta,,,,,,1.0,,,,,1.0,1.0,,,0.0,0.3,0.17320508075688773,0.10000000000000002,3.0,58,2,02 Esi- ja perusopetus
58Kymenlaakson steinerkoulun kannatusyhdistys ryDigitutorointi steinerkoulussa,1569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1569.0,0.0,0.0,0.0,0.0,569.0,569.0,-1000.0,95.65794153298329,,Kymenlaakson steinerkoulun kannatusyhdistys ry,Digitutorointi steinerkoulussa,,,,,,,,,,,,1.0,,,-0.1,0.5,0.42426406871192857,0.2,1.0,58,2,02 Esi- ja perusopetus
58Kuusamon kaupunkiTutorit koulutyön arjessa,21344.0,0.0,0.0,0.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0,21635.0,16500.0,0.0,0.0,5135.0,0.0,21635.0,0.0,71.81167139059568,,Kuusamon kaupunki,Tutorit koulutyön arjessa,,,2.0,,,,,,,,,1.0,,,-0.1,0.9,0.4315450408099719,0.2750000000000001,3.0,58,2,02 Esi- ja perusopetus
58Kuortaneen kuntaKuortaneen perusopetus 2020-luvulle,1948.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1966.0,0.0,0.0,0.0,0.0,0.0,0.0,-1966.0,98.0599231879542,,Kuortaneen kunta,Kuortaneen perusopetus 2020-luvulle,,,2.0,,,,,,,,,2.0,,,0.0,0.4,,0.25,4.0,58,2,02 Esi- ja perusopetus
58Kuopion kristillisen päiväkodin ja koulun kannatusyhditys ryKukrin Tutoropettajatoimintahanke,2226.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2256.0,0.0,0.0,0.0,0.0,0.0,0.0,-2256.0,98.07472991047312,,Kuopion kristillisen päiväkodin ja koulun kannatusyhditys ry,Kukrin Tutoropettajatoimintahanke,,,,,,,,,,,,1.0,,,-0.5,0.8,0.51478150704935,0.3,1.0,58,2,02 Esi- ja perusopetus
58Kouluyhdistys Pestalozzi Schulverein Skolföreningen ryTutoropettajien toiminta,7650.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7692.0,6000.0,0.0,0.0,0.0,0.0,6000.0,-1692.0,83.17003698844212,,Kouluyhdistys Pestalozzi Schulverein Skolföreningen ry,Tutoropettajien toiminta,,,,,,,,,,,,2.0,,,-0.1,0.2,0.14142135623730953,0.05,2.0,58,2,02 Esi- ja perusopetus
58Kotkan kaupunkiKotkan perusopetuksen tutoropettajien toiminta,49821.0,0.0,500.0,2744.0,0.0,14973.0,0.0,0.0,0.0,0.0,0.0,68038.0,0.0,0.0,0.0,0.0,0.0,0.0,-68038.0,79.18572124488514,,Kotkan kaupunki,Kotkan perusopetuksen tutoropettajien toiminta,,,,,,,,,,,1.0,1.0,,,0.0,0.4,0.1353553390593274,0.12500000000000006,2.0,58,2,02 Esi- ja perusopetus
58Kontiolahden kuntaKontiolahden tutor-opettajatoiminta ,31940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31940.0,0.0,0.0,0.0,0.0,0.0,0.0,-31940.0,97.76749162775313,,Kontiolahden kunta,Kontiolahden tutor-opettajatoiminta ,,,1.0,,,,,,,,,1.0,,,0.0,0.3,0.17320508075688773,0.05,2.0,58,2,02 Esi- ja perusopetus
58Konneveden kuntaKonneveden tutoropettajien toiminta ,4737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4737.0,3500.0,0.0,0.0,0.0,0.0,3500.0,-1237.0,93.48041778843049,,Konneveden kunta,Konneveden tutoropettajien toiminta ,,,1.0,,,,,,,,,1.0,2.0,,-0.2,0.7,0.27934856899013205,0.2729166666666667,4.0,58,2,02 Esi- ja perusopetus
58Kokkolan kaupunkiTutoropettajien toiminta Kokkolassa,82327.0,0.0,0.0,0.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,82630.0,0.0,0.0,0.0,0.0,0.0,0.0,-82630.0,92.75114418114164,,Kokkolan kaupunki,Tutoropettajien toiminta Kokkolassa,,,1.0,,,,,,,,,,,,0.0,0.0,,0.0,1.0,58,2,02 Esi- ja perusopetus
58Kihniön kuntaTakametsien digiloikkarit,3147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3147.0,2500.0,0.0,0.0,0.0,0.0,2500.0,-647.0,95.93700025791668,,Kihniön kunta,Takametsien digiloikkarit,,,,,,,,,,,1.0,,,,0.1,0.1,,0.1,1.0,58,2,02 Esi- ja perusopetus
58Keuruun kaupunkiDigitutorit,14748.0,0.0,0.0,400.0,317.0,259.0,0.0,0.0,0.0,0.0,0.0,15724.0,0.0,0.0,0.0,0.0,0.0,0.0,-15724.0,98.38031238895651,,Keuruun kaupunki,Digitutorit,,,,,,,,,,,1.0,1.0,1.0,,-0.4,0.7,0.36505568010024136,0.1955555555555556,3.0,58,2,02 Esi- ja perusopetus
58Keski-Uudenmaan kristillisen koulun ja päiväkodin kannatusyhdistys ryKukon digiloikka 2. ,2195.0,0.0,0.0,608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2803.0,0.0,0.0,0.0,0.0,0.0,0.0,-2803.0,98.11423990615394,,Keski-Uudenmaan kristillisen koulun ja päiväkodin kannatusyhdistys ry,Kukon digiloikka 2. ,,,,,,,,,,,,2.0,,,0.1,0.2,,0.15000000000000002,2.0,58,2,02 Esi- ja perusopetus
58Keravan kasvatus- ja opetustoimiUusi peruskoulu arjessa (UPEA),45942.0,0.0,0.0,1265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47207.0,0.0,0.0,0.0,0.0,0.0,0.0,-47207.0,97.06789365449104,,Keravan kasvatus- ja opetustoimi,Uusi peruskoulu arjessa (UPEA),,,,,,,,,,,,1.0,,,0.1,0.6,0.2,0.4,1.0,58,2,02 Esi- ja perusopetus
58Keiteleen kuntaNilakan yhtenäiskoulun OPS ja DIGI-Tutor toiminta HR2,7860.0,0.0,0.0,469.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8329.0,0.0,0.0,0.0,0.0,0.0,0.0,-8329.0,98.20940688563736,,Keiteleen kunta,Nilakan yhtenäiskoulun OPS ja DIGI-Tutor toiminta HR2,,,1.0,,,,,,,,,1.0,,,0.0,0.3,,0.15,2.0,58,2,02 Esi- ja perusopetus
58Kaustisen kuntaTutoropettajat toimimaan Kaustisella,9354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9354.0,0.0,0.0,0.0,0.0,0.0,0.0,-9354.0,98.17051205325144,,Kaustisen kunta,Tutoropettajat toimimaan Kaustisella,,,,,,1.0,,,,,,,,,-0.1,-0.1,,-0.1,1.0,58,2,02 Esi- ja perusopetus
58Kauhajoen kaupunkiPedagogisten tutoropettajien toiminta,21360.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,21366.0,0.0,0.0,0.0,0.0,0.0,0.0,-21366.0,98.10372920567728,,Kauhajoen kaupunki,Pedagogisten tutoropettajien toiminta,,,,,,,,,,,1.0,,,,0.0,0.2,0.14142135623730953,0.1,1.0,58,2,02 Esi- ja perusopetus
58Karvian kuntauuden yhtenäiskoulun tuturointihanke,3508.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3508.0,0.0,0.0,0.0,0.0,0.0,0.0,-3508.0,98.08386575151022,,Karvian kunta,uuden yhtenäiskoulun tuturointihanke,,,,,,,,,,,1.0,1.0,,,0.0,0.5,,0.25,2.0,58,2,02 Esi- ja perusopetus
58Karstulan kuntaKarstulan tutoropettajien toiminta,9894.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9894.0,0.0,0.0,0.0,2659.0,0.0,2659.0,-7235.0,83.3669927987781,,Karstulan kunta,Karstulan tutoropettajien toiminta,,,,,,,,,,,,2.0,,,0.3,0.7,,0.5,2.0,58,2,02 Esi- ja perusopetus
58Kalajoen kaupunkiToimivat tutorit,19051.0,0.0,0.0,0.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,19563.0,0.0,0.0,0.0,0.0,0.0,0.0,-19563.0,98.21999114358263,,Kalajoen kaupunki,Toimivat tutorit,,,,,,1.0,,,,,2.0,3.0,,,0.0,0.7,0.2828427124746189,0.15,6.0,58,2,02 Esi- ja perusopetus
58Kajaanin kaupunkiTaitavat tutorit koulujen toimintakulttuuria uudistamassa,49772.0,0.0,0.0,0.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,49961.0,0.0,0.0,0.0,0.0,0.0,0.0,-49961.0,96.713668296897,,Kajaanin kaupunki,Taitavat tutorit koulujen toimintakulttuuria uudistamassa,,,1.0,,,,,,,,,1.0,,,-0.1,0.4,0.12033899761920715,0.07500000000000001,2.0,58,2,02 Esi- ja perusopetus
58KaarinaTUTKA- Tutorit toimintakulttuurin uudistamisen agentteina,60247.0,0.0,860.0,2513.0,267.0,1487.0,0.0,0.0,0.0,0.0,0.0,65374.0,0.0,0.0,0.0,0.0,0.0,0.0,-65374.0,79.26158552358739,,Kaarina,TUTKA- Tutorit toimintakulttuurin uudistamisen agentteina,,,,,,,,,,,1.0,,,,0.2,0.2,,0.2,1.0,58,2,02 Esi- ja perusopetus
58Jyväskylän steinerkoulun kannatusyhditys ryTutoropettaja toiminta koulussa,1138.0,0.0,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,2538.0,0.0,0.0,0.0,0.0,0.0,0.0,-2538.0,96.74890138643377,,Jyväskylän steinerkoulun kannatusyhditys ry,Tutoropettaja toiminta koulussa,,,,,,,,,,,,1.0,,,0.6,0.6,,0.6,1.0,58,2,02 Esi- ja perusopetus
58Jyväskylän kristillisen koulun yhdistys ryTVT2 - Tutorit Vievät Tulevaisuuteen,3279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3279.0,0.0,0.0,0.0,0.0,0.0,0.0,-3279.0,98.07887332617636,,Jyväskylän kristillisen koulun yhdistys ry,TVT2 - Tutorit Vievät Tulevaisuuteen,,,,,,,,,,,,1.0,,,-0.6,0.4,0.3408672412985387,0.042857142857142864,1.0,58,2,02 Esi- ja perusopetus
58Juvan kunta /sivistystoimiTutoropettajien toiminta / Juva,9104.0,0.0,0.0,0.0,349.0,307.0,0.0,0.0,0.0,0.0,0.0,9760.0,0.0,0.0,0.0,0.0,0.0,0.0,-9760.0,98.30927879683952,,Juvan kunta /sivistystoimi,Tutoropettajien toiminta / Juva,1.0,,,,,,,,,,,,,,0.0,0.4,0.28284271247461906,0.2,0.0,58,2,02 Esi- ja perusopetus
58Juupajoen kuntaTutoropettajien toiminta/Juupajoen kunta,3400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3400.0,0.0,0.0,0.0,0.0,0.0,0.0,-3400.0,98.08152625895369,,Juupajoen kunta,Tutoropettajien toiminta/Juupajoen kunta,,,,,,,,,,,,1.0,1.0,,0.4,0.6,,0.5,2.0,58,2,02 Esi- ja perusopetus
58Joroisten kuntaBuustia digiloikkaan,7019.0,0.0,0.0,493.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,7553.0,0.0,0.0,0.0,0.0,0.0,0.0,-7553.0,98.21158877906194,,Joroisten kunta,Buustia digiloikkaan,,,,,,,,,,,,1.0,,,0.1,0.9,0.4618802153517007,0.3666666666666667,1.0,58,2,02 Esi- ja perusopetus
58Jokioisten kunta Jokioisten kunta; Tutoropettajien toiminta ,10629.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10630.0,7500.0,0.0,0.0,0.0,0.0,7500.0,-3130.0,79.07459826060567,,Jokioisten kunta ,Jokioisten kunta; Tutoropettajien toiminta ,,,,,,1.0,,,,,,,1.0,,0.0,0.0,,0.0,2.0,58,2,02 Esi- ja perusopetus
58Joensuun steinerkoulun kannatusyhdistys ry.Tutoropettajien toiminta,2228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2228.0,0.0,0.0,0.0,0.0,0.0,0.0,-2228.0,98.05441491121002,,Joensuun steinerkoulun kannatusyhdistys ry.,Tutoropettajien toiminta,,,4.0,,,1.0,,,,,1.0,1.0,,,0.0,0.6,0.13451779686442458,0.08571428571428573,7.0,58,2,02 Esi- ja perusopetus
58Itä-Suomen suomalais-venäläisen koulun säätiöTutoropettajat tukena tunneilla ja toiminnassa,8947.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8947.0,0.0,0.0,0.0,0.0,0.0,0.0,-8947.0,98.16702298594058,,Itä-Suomen suomalais-venäläisen koulun säätiö,Tutoropettajat tukena tunneilla ja toiminnassa,,,,,,,,,,,1.0,,2.0,,0.0,0.2,0.14142135623730953,0.06666666666666668,3.0,58,2,02 Esi- ja perusopetus
58Isonkyrön kuntaIsonkyrön tutoropettajien toiminta,9150.0,0.0,0.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9630.0,0.0,0.0,0.0,0.0,0.0,0.0,-9630.0,98.22401385575071,,Isonkyrön kunta,Isonkyrön tutoropettajien toiminta,,,,,,,,,,,1.0,1.0,,,-0.1,0.2,0.10954451150103324,0.010000000000000007,2.0,58,2,02 Esi- ja perusopetus
58Inarin kuntaArktisen osaamisen tuki - Inarilainen tutorope,8881.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8922.0,0.0,0.0,0.0,0.0,0.0,0.0,-8922.0,98.17218401109993,,Inarin kunta,Arktisen osaamisen tuki - Inarilainen tutorope,,,,,,,,,,,,4.0,,,0.0,0.9,0.27446361972993394,0.19375,4.0,58,2,02 Esi- ja perusopetus
"58Imatran kaupunkiKeskus, Kehityksen Kehto -hanke",29806.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29806.0,0.0,0.0,0.0,0.0,0.0,0.0,-29806.0,97.8557132050096,,Imatran kaupunki,"Keskus, Kehityksen Kehto -hanke",,,,,,,,,,,,1.0,,,-0.1,-0.1,,-0.1,1.0,58,2,02 Esi- ja perusopetus
58Ilmajoen kuntaDigitutoreille hommia Ilmajoella,14480.0,0.0,0.0,6100.0,201.0,113.0,0.0,0.0,0.0,0.0,0.0,20894.0,0.0,0.0,0.0,0.0,0.0,0.0,-20894.0,97.10407309148287,,Ilmajoen kunta,Digitutoreille hommia Ilmajoella,,,,,,,,,,,,1.0,,,0.0,0.3,0.17320508075688773,0.2,1.0,58,2,02 Esi- ja perusopetus
58Iitin kuntaDigitaidot käyttöön Iitin alakoulujen perusopetuksessa,8805.0,0.0,0.0,0.0,0.0,975.0,0.0,0.0,0.0,0.0,0.0,9780.0,0.0,0.0,0.0,2727.0,0.0,2727.0,-7053.0,82.01725401165508,,Iitin kunta,Digitaidot käyttöön Iitin alakoulujen perusopetuksessa,,,1.0,,,,,,,,2.0,,,,0.0,0.5,,0.16666666666666666,3.0,58,2,02 Esi- ja perusopetus
58Iisalmen kaupunkiTutoropetoiminta,35488.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35488.0,21500.0,0.0,0.0,0.0,0.0,21500.0,-13988.0,77.1156669497268,,Iisalmen kaupunki,Tutoropetoiminta,,,,,,,,,,,,2.0,,,-0.1,0.8,0.4112376008498879,0.33333333333333337,2.0,58,2,02 Esi- ja perusopetus
58Hyvinkään kaupunkiPedagogiset kouluttajat opettajan työn tukena,63000.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,63220.0,50500.0,0.0,0.0,0.0,0.0,50500.0,-12720.0,63.8211806078755,,Hyvinkään kaupunki,Pedagogiset kouluttajat opettajan työn tukena,,,,,,1.0,,,,,,,,,0.1,0.1,,0.1,1.0,58,2,02 Esi- ja perusopetus
58Helsingin kaupungin opetusvirastoHelsingin tutoropettajatoiminta,752102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752102.0,0.0,0.0,0.0,0.0,0.0,0.0,-752102.0,45.51324295899643,,Helsingin kaupungin opetusvirasto,Helsingin tutoropettajatoiminta,,,,,,,,,,,3.0,,2.0,,-0.2,0.8,0.24517228326721394,0.1447619047619048,5.0,58,2,02 Esi- ja perusopetus
58Helsingin yliopiston Viikin normaalikouluDigitutortoiminta - Hgin yliopiston harjoittelukoulut,12564.0,0.0,750.0,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14124.0,0.0,0.0,0.0,0.0,0.0,0.0,-14124.0,79.14406868466658,,Helsingin yliopiston Viikin normaalikoulu,Digitutortoiminta - Hgin yliopiston harjoittelukoulut,,,1.0,,,,,,,,1.0,1.0,,,0.3,0.7,,0.5,3.0,58,2,02 Esi- ja perusopetus
58Humppilan kuntaTutoropettajien toiminta,3690.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3990.0,0.0,0.0,0.0,0.0,0.0,0.0,-3990.0,98.12360515706635,,Humppilan kunta,Tutoropettajien toiminta,2.0,,,,,,,,,,1.0,,,,0.1,0.8,0.2150482454160612,0.3888888888888888,1.0,58,2,02 Esi- ja perusopetus
58Huittisten kaupunkiDigituutorit muutosagentteina,12954.0,0.0,0.0,206.0,0.0,163.0,0.0,0.0,0.0,0.0,0.0,13323.0,0.0,0.0,0.0,0.0,0.0,0.0,-13323.0,98.23591123317058,,Huittisten kaupunki,Digituutorit muutosagentteina,,,,,,1.0,,,,,,1.0,,,0.0,0.7,0.3499999999999999,0.2375,2.0,58,2,02 Esi- ja perusopetus
58Heinolan kaupunkiTutoropettajien toiminta / Heinola,9534.0,0.0,0.0,0.0,357.0,126.0,0.0,0.0,0.0,0.0,0.0,10017.0,0.0,0.0,0.0,0.0,0.0,0.0,-10017.0,98.31807908068815,,Heinolan kaupunki,Tutoropettajien toiminta / Heinola,,,,,,,,,,,,1.0,,,0.2,0.2,,0.2,1.0,58,2,02 Esi- ja perusopetus
58Heinäveden kuntaTutor opettaja Heinävedelle,4961.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4961.0,0.0,0.0,0.0,0.0,0.0,0.0,-4961.0,98.11273475239874,,Heinäveden kunta,Tutor opettaja Heinävedelle,,,,,,,,,,,,1.0,,,0.2,0.2,,0.2,1.0,58,2,02 Esi- ja perusopetus
58Hausjärven kuntaHausjärven tutor-opettajatoiminta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.9941725083515,,Hausjärven kunta,Hausjärven tutor-opettajatoiminta,1.0,,,,,,,,,,,,,,-0.7,-0.7,,-0.7,0.0,58,2,02 Esi- ja perusopetus
"58Forssan kaupunki, Sivistys- ja tulevaisuustoimialaTuella ja tuuppauksella – tutorointi osaamisen kasvattamisen ja kehittämistoiminnan menetelmäksi Forssan perusopetuksessa",20976.0,0.0,0.0,41.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,21029.0,0.0,0.0,0.0,0.0,0.0,0.0,-21029.0,98.11881946238415,,"Forssan kaupunki, Sivistys- ja tulevaisuustoimiala",Tuella ja tuuppauksella – tutorointi osaamisen kasvattamisen ja kehittämistoiminnan menetelmäksi Forssan perusopetuksessa,1.0,,,,,,,,,,,,,,0.0,0.2,0.08164965809277261,0.1,0.0,58,2,02 Esi- ja perusopetus
58Eurajoen kuntaTutoropettajien koulutus,9699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9699.0,0.0,0.0,0.0,0.0,0.0,0.0,-9699.0,98.17317154803341,,Eurajoen kunta,Tutoropettajien koulutus,,,,,,,,,,,1.0,1.0,,,-0.1,0.5,0.1755915629356699,0.11666666666666667,2.0,58,2,02 Esi- ja perusopetus
58Espoon kristillisen koulun kannatusyhdistys ryTUTOR,3130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3130.0,2500.0,0.0,0.0,0.0,0.0,2500.0,-630.0,95.93681561944305,,Espoon kristillisen koulun kannatusyhdistys ry,TUTOR,,,,,,,,,,,,1.0,,,-0.1,0.2,0.10488088481701516,0.05000000000000001,1.0,58,2,02 Esi- ja perusopetus
58Elias-koulun kouluyhdistys ry.Tutoropettaja,3831.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3831.0,0.0,0.0,0.0,0.0,0.0,0.0,-3831.0,98.09070262657565,,Elias-koulun kouluyhdistys ry.,Tutoropettaja,,,,,,1.0,,,,,,,,,0.4,0.9,0.3535533905932738,0.65,1.0,58,2,02 Esi- ja perusopetus
58Confido - Pohjanmaan kristillinen kasvatusSisäinen osaaminen kouluyhteisön kehittämisessä,1462.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1492.0,0.0,0.0,0.0,0.0,0.0,0.0,-1492.0,98.04412405419744,,Confido - Pohjanmaan kristillinen kasvatus,Sisäinen osaaminen kouluyhteisön kehittämisessä,,,,,,1.0,,,,,,2.0,,,-0.1,0.5,0.28284271247461906,0.16666666666666666,3.0,58,2,02 Esi- ja perusopetus
58Akaan kaupunkiTutoropettajien toiminta / Akaa,24867.0,0.0,0.0,500.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,25625.0,0.0,0.0,0.0,0.0,0.0,0.0,-25625.0,98.20392556526434,,Akaan kaupunki,Tutoropettajien toiminta / Akaa,,,,,,,,,,,,1.0,,,0.0,0.0,,0.0,1.0,58,2,02 Esi- ja perusopetus
"59Turun yliopisto, Kasvatustieteiden tiedekunta, Turun normaalikouluEducraftory - innostava ja rohkaiseva aktiivisen oppimisen laboratorio",31148.0,2995.0,0.0,40979.0,1802.0,664.0,8705.0,0.0,0.0,0.0,0.0,86293.0,0.0,0.0,0.0,0.0,0.0,0.0,-86293.0,76.45942059903962,,"Turun yliopisto, Kasvatustieteiden tiedekunta, Turun normaalikoulu",Educraftory - innostava ja rohkaiseva aktiivisen oppimisen laboratorio,,,,,,,,,,,,3.0,1.0,,0.0,0.8,0.26794494717703365,0.175,4.0,59,2,02 Esi- ja perusopetus
59Tampereen kaupunkiAivot liikkeelle!,91484.0,4980.0,3896.0,53195.0,7983.0,0.0,16022.0,0.0,0.0,0.0,0.0,177560.0,141600.0,0.0,0.0,0.0,0.0,141600.0,-35960.0,44.745598588670674,,Tampereen kaupunki,Aivot liikkeelle!,,,3.0,,,,,,,,,,,,-0.1,0.5,0.3214550253664319,0.07777777777777778,3.0,59,2,02 Esi- ja perusopetus
59Englantilainen kouluAjattelun kolme ulottuvuutta - 3 Dimensions of Thinking,55788.0,2318.0,1000.0,45308.0,0.0,955.0,15181.0,0.0,0.0,0.0,0.0,120550.0,0.0,0.0,0.0,0.0,0.0,0.0,-120550.0,72.00064888036165,,Englantilainen koulu,Ajattelun kolme ulottuvuutta - 3 Dimensions of Thinking,,,1.0,,,2.0,,,,,3.0,1.0,1.0,,0.0,0.1,,0.025,8.0,59,2,02 Esi- ja perusopetus
59Lappeenrannan kaupunki/ Saimaan mediakeskusVISIOT,228474.0,17990.0,0.0,39890.0,13093.0,0.0,27750.0,0.0,0.0,0.0,0.0,327197.0,0.0,0.0,0.0,0.0,0.0,0.0,-327197.0,50.88080644222106,,Lappeenrannan kaupunki/ Saimaan mediakeskus,VISIOT,,,3.0,,,,,,,,,12.0,3.0,,-0.1,0.4,0.0,0.05555555555555555,18.0,59,2,02 Esi- ja perusopetus
59Espoon Steinerkoulun kannatusyhdistys ry HyMy - hyvinvoinvoivan ja myötätuntoisen koulukulttuurin kehittmishanke,15989.0,0.0,0.0,60007.0,0.0,5135.0,10190.0,0.0,0.0,0.0,0.0,91321.0,0.0,0.0,0.0,0.0,0.0,0.0,-91321.0,72.3352783606717,,Espoon Steinerkoulun kannatusyhdistys ry ,HyMy - hyvinvoinvoivan ja myötätuntoisen koulukulttuurin kehittmishanke,,,1.0,,,,,,,,,1.0,,,0.0,0.5,0.08944271909999159,0.22,2.0,59,2,02 Esi- ja perusopetus
"59Turun kaupunki, sivistystoimiala (TOP-keskus)Uusi PaikkaOppi",52055.0,512.0,0.0,75749.0,2354.0,0.0,0.0,0.0,0.0,0.0,0.0,130670.0,0.0,0.0,0.0,0.0,0.0,0.0,-130670.0,70.1108169391901,,"Turun kaupunki, sivistystoimiala (TOP-keskus)",Uusi PaikkaOppi,,,1.0,,,,,,,,,,,,0.6,0.6,,0.6,1.0,59,2,02 Esi- ja perusopetus
59Mäntsälän kunta Mäntsälän malli-yrittäjyyskasvatuksen polku peruskouluun,42251.0,3472.0,0.0,1177.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,46911.0,36937.0,0.0,0.0,0.0,0.0,36937.0,-9974.0,71.50941234351392,,Mäntsälän kunta, Mäntsälän malli-yrittäjyyskasvatuksen polku peruskouluun,,,,,,1.0,,,,,,1.0,1.0,,-0.2,0.5,0.15005214875605866,0.05380952380952383,3.0,59,2,02 Esi- ja perusopetus
