,unique,ei-tuotos-tyyppia,henkiloestoeliikkuvuudet-lkm,julkaisut,kasikirja,koulutus,muu-tuotos,ohjelma,opiskelijaliikkuvuudet-lkm,raportti,selvitys,tapahtuma,toimintamalli,tutkimus,verkkosivut,min,max,std,mean
1178,58Ilmajoen kuntaDigitutoreille hommia Ilmajoella,,,,,,,,,,,,1,,,0.0,0.3,0.17320508075688773,0.2
1179,"58Imatran kaupunkiKeskus, Kehityksen Kehto -hanke",,,,,,,,,,,,1,,,-0.1,-0.1,,-0.1
1180,58Inarin kuntaArktisen osaamisen tuki - Inarilainen tutorope,,,,,,,,,,,,4,,,0.0,0.9,0.27446361972993394,0.19374999999999998
1181,58Inkoon kuntaTutoropettajien toiminta,,,,,,,,,,,1,,,,0.5,0.5,,0.5
1182,58Isonkyrön kuntaIsonkyrön tutoropettajien toiminta,,,,,,,,,,,1,1,,,-0.1,0.2,0.10954451150103324,0.010000000000000009
1183,58Itä-Suomen suomalais-venäläisen koulun säätiöTutoropettajat tukena tunneilla ja toiminnassa,,,,,,,,,,,1,,2,,0.0,0.2,0.14142135623730953,0.06666666666666667
1184,"58Itä-Suomen yliopisto, Joensuun normaalikouluItä-Suomen tutoropettajien verkostotoiminta",,,,,,,,,,,,1,,,0.5,0.5,,0.5
1185,58Janakkalan kuntaTutoropettajat yhteisön inspiraationa,,,1,,,,,,,,,,1,,0.0,0.3,,0.15
1186,58Joensuun kaupunkiTutoropettajien toiminta / Joensuun kaupunki,,,2,,,1,,,,,,1,,,0.0,0.8,0.2015171328511655,0.22749999999999998
1187,58Joensuun steinerkoulun kannatusyhdistys ry.Tutoropettajien toiminta,,,4,,,1,,,,,1,1,,,0.0,0.6,0.13451779686442458,0.08571428571428572
1188,58Jokioisten kunta Jokioisten kunta; Tutoropettajien toiminta ,,,,,,1,,,,,,,1,,0.0,0.0,,0.0
1189,58Joroisten kuntaBuustia digiloikkaan,,,,,,,,,,,,1,,,0.1,0.9,0.4618802153517007,0.3666666666666667
1190,58Joutsan kuntaDigitutoropettajan toiminta Joutsan kunnassa,,,2,,,,,,,,,,,,0.0,0.2,,0.1
1191,58Juuan kuntaTutoreista digitukea,1,,,,,,,,,,,,,,0.0,0.4,0.28284271247461906,0.2
1192,58Juupajoen kuntaTutoropettajien toiminta/Juupajoen kunta,,,,,,,,,,,,1,1,,0.4,0.6,,0.5
1193,58Juvan kunta /sivistystoimiTutoropettajien toiminta / Juva,1,,,,,,,,,,,,,,0.0,0.4,0.28284271247461906,0.2
1194,58Jyväskylän kaupunkiJyväskylän tutoropettajien toiminta,2,,3,,,,,,,,1,2,2,,-0.3,0.7,0.20240029595619513,0.10500000000000001
1195,58Jyväskylän kristillisen koulun yhdistys ryTVT2 - Tutorit Vievät Tulevaisuuteen,,,,,,,,,,,,1,,,-0.6,0.4,0.3408672412985387,0.042857142857142864
1196,58Jyväskylän steinerkoulun kannatusyhditys ryTutoropettaja toiminta koulussa,,,,,,,,,,,,1,,,0.6,0.6,,0.6
1197,58Jämsän kaupunkiJämsän DigiOpet 2.0 - yhdessä oppien,,,,,,,,,,,,1,,,0.0,0.1,0.07071067811865478,0.05
1198,"58Järvenpään kaupunki / Lasten ja nuorten palvelualueOppiva koulu, oppivat työntekijät ",,,,,,,,,,,,1,,,0.0,0.0,,0.0
1199,58KaarinaTUTKA- Tutorit toimintakulttuurin uudistamisen agentteina,,,,,,,,,,,1,,,,0.2,0.2,,0.2
1200,58Kainuun Opisto OyDigitutor Kainuun Opisto,,,,,,1,,,,,,,,,0.1,0.5,0.18929694486000911,0.225
1201,58Kajaanin kaupunkiTaitavat tutorit koulujen toimintakulttuuria uudistamassa,,,1,,,,,,,,,1,,,-0.1,0.4,0.12033899761920715,0.07500000000000001
1202,58Kalajoen kaupunkiToimivat tutorit,,,,,,1,,,,,2,3,,,0.0,0.7,0.28284271247461895,0.15
1203,58Kangasalan kuntaKangasalan kunnan tutorien toimintaohjelma,1,,1,,,,,,,,,,2,,-0.1,0.1,,0.0
1204,58Kangasniemen kuntaTutoropettajat Kangasniemen perusopetuksessa,,,1,,,,,,,,1,,1,,0.0,0.3,0.21213203435596426,0.08333333333333333
1205,58Kankaanpään kaupunkiKankaanpään perusopetuksen OPS-tutoriopettajatoiminta,,,,,,,,,,,,1,,,0.2,0.3,0.07071067811865474,0.25
1206,58Kannonkosken kuntaKannonkosken tutoropettajien toiminta,,,,,,,,,,,,2,,,0.0,0.5,,0.25
1207,58Kannuksen kaupunkiTutor / Kannus,,,,,,4,,,,,,,,,-0.1,0.9,0.2712751325972343,0.1462797619047619
1208,58Karkkilan kaupunkiTutorit koulun arjessa,,,,,,,,,,,,2,,,0.0,0.9,0.3993002668866432,0.4875
1209,58Karstulan kuntaKarstulan tutoropettajien toiminta,,,,,,,,,,,,2,,,0.3,0.7,,0.5
1210,58Karvian kuntauuden yhtenäiskoulun tuturointihanke,,,,,,,,,,,1,1,,,0.0,0.5,,0.25
1211,58Kauhajoen kaupunkiPedagogisten tutoropettajien toiminta,,,,,,,,,,,1,,,,0.0,0.2,0.14142135623730953,0.1
1212,58Kauniaisten sivistystoimiGrani Future Tutors in Action,,,,,,,,,,,2,,1,,0.2,0.4,,0.26666666666666666
1213,58Kaustisen kuntaTutoropettajat toimimaan Kaustisella,,,,,,1,,,,,,,,,-0.1,-0.1,,-0.1
1214,58Keiteleen kuntaNilakan yhtenäiskoulun OPS ja DIGI-Tutor toiminta HR2,,,1,,,,,,,,,1,,,0.0,0.3,,0.15
1215,58Kemijärven kaupungin perusopetusTutoropettajien toiminta Kemijärvellä,,,,,,,,,,,,1,,,0.1,0.1,,0.1
1216,58Kemin kaupunkiTutor-opettajatoiminta Kemissä (TUOKE),1,,,,,,,,,,,,,,-0.7,-0.7,,-0.7
1217,58Keminmaan kunta / sivistyspalvelutTutor toimii,,,,,,,,,,,,2,3,,0.0,0.2,,0.04
1218,58Kempeleen kuntaKempeleen tutoropettajien toiminta,,,1,,,,,,,,,,1,,-0.1,0.5,0.21213203435596428,0.1
1219,58Keravan kasvatus- ja opetustoimiUusi peruskoulu arjessa (UPEA),,,,,,,,,,,,1,,,0.1,0.6,0.2,0.4
1220,58Keski-Uudenmaan kristillisen koulun ja päiväkodin kannatusyhdistys ryKukon digiloikka 2. ,,,,,,,,,,,,2,,,0.1,0.2,,0.15000000000000002
1221,58Keuruun kaupunkiDigitutorit,,,,,,,,,,,1,1,1,,-0.4,0.7,0.36505568010024136,0.19555555555555557
1222,58Kihniön kuntaTakametsien digiloikkarit,,,,,,,,,,,1,,,,0.1,0.1,,0.1
1223,"58Kimitoöns kommun, bildningsavdelningenKimitoöns digitutoter - KidIT",,,,,,,,,,,,1,,,0.0,0.6,0.32145502536643183,0.3666666666666667
