,unique,haku_id,osa_alue_id,osa_alue_nimi
128,"11Helsingin yliopisto, OpettajankoulutuslaitosVatti K. Vaativa erityinen tuki kehittyy",11,1,01 Varhaiskasvatus
129,11Niilo Mäki InstituuttiYhteispeli - hyvinvointia ja taitoja koko koululle ,11,1,01 Varhaiskasvatus
130,11Pesäpuu rySisukkaasti koulutiellä - sijoitetun lapsen monialainen tuki,11,1,01 Varhaiskasvatus
131,11Tampereen kesäyliopistoyhdistys ryValmiuksia ja osaamista valmistavaan opetukseen,11,1,01 Varhaiskasvatus
132,11Tampereen yliopistoTavoitteena kestävästi monikulttuurinen ja moniarvoinen koulu (18op),11,1,01 Varhaiskasvatus
133,11Turun ammattikorkeakoulu OyRatkaisukeskeinen toimintatapa turvallisuusosaamisen edistäjänä kouluyhteisössä,11,1,01 Varhaiskasvatus
134,"11Hämeen ammattikorkeakoulu OyMestariainesta! Näyttötutkintomestariksi HAMKista, Näyttötutkintomestarin koulutusohjelma 25 op",11,1,01 Varhaiskasvatus
135,11Hämeen ammattikorkeakoulu OyTUTKESTA toimintaan II,11,1,01 Varhaiskasvatus
136,11HY+ OyYhdenvertainen seksuaalikasvatus opetus- ja ohjaustyössä 8op,11,1,01 Varhaiskasvatus
137,"11Jyväskylän ammattikorkeakoulu, ammatillinen opettajakorkeakouluNäyttötutkintomestarikoulutus",11,1,01 Varhaiskasvatus
138,11Hämeen ammattikorkeakoulu OyErityisen tuen ja ohjauksen osaajaksi    ,11,1,01 Varhaiskasvatus
139,"11Jyväskylän ammattikorkeakoulu, ammatillinen opettajakorkeakouluKohti digitaalista opettajuutta",11,1,01 Varhaiskasvatus
140,"11Laurea-ammattikorkeakoulu OyLETET - Lähihoitajan ennakoiva turvallisuus-, ergonomia- ja työhyvinvointiosaaminen",11,1,01 Varhaiskasvatus
141,"11Oulun Ammattikorkeakoulu Oy, Ammatillinen opettajakorkeakouluOsaOppi IV - Yhteisöllinen ohjaus ja digiosaamismerkit",11,1,01 Varhaiskasvatus
142,11Oulun ammattikorkeakoulu Oy/Ammatillinen opettajakorkeakouluKEHTO – kehitämme toimintaa!,11,1,01 Varhaiskasvatus
143,11Hämeen ammattikorkeakoulu OyHenkilökohtaista,11,1,01 Varhaiskasvatus
144,11Metropolia Ammattikorkeakoulu OyDigiosaaminen haltuun ammatillisessa koulutuksessa,11,1,01 Varhaiskasvatus
145,"11Turun yliopistoSCHOLAE FUTURUM - digitaalinen oppiminen, oppimisympäristöt ja toimintakulttuuri tulevaisuuden lukiossa",11,1,01 Varhaiskasvatus
146,11Oulun ammattikorkeakoulu Oy/Ammatillinen opettajakorkeakouluTyöelämäpedagogiikka,11,1,01 Varhaiskasvatus
147,11Metropolia Ammattikorkeakoulu OyDigimarkkinointiosaamista ammatilliseen koulutukseen,11,1,01 Varhaiskasvatus
148,11HY+ AbDe otroliga åren – att stöda barnets emotionella och sociala kompetens,11,1,01 Varhaiskasvatus
149,"11Jyväskylän yliopisto, Kokkolan yliopistokeskus ChydeniusPäivitetään Porukalla! Osaavista opettajista Group Trainereiksi",11,1,01 Varhaiskasvatus
150,11Metropolia Ammattikorkeakoulu OyDigiSoTeOpe - Sosiaali- ja terveysalan opettajien täydennyskoulutus (10 op),11,1,01 Varhaiskasvatus
151,25Kesälukioseura ryKesälukiotoiminta ,25,6,06 Järjestötoiminta
152,25Confido - Pohjanmaan kristillinen kasvatusKouluPlus Vaasa - kerho- ja harrastetoiminnan kehittäminen,25,6,06 Järjestötoiminta
153,25Agape-keskus ry / Suur-Helsingin kristillinen kouluKouluPlus Suur-Helsingin kristillisen koulun kerhotoiminnan kehittämishanke,25,6,06 Järjestötoiminta
154,25Filosofian ja elämänkatsomustiedon opettajat  Feto ryIPO Filosofiaolympialaiset (International Philosophy Olympiad),25,6,06 Järjestötoiminta
155,25Suomen leirikouluyhdistys - Lägerskolföreningen i Finland ryUlos luokasta! Leirikoululähettiläs,25,6,06 Järjestötoiminta
156,25Suomen Ympäristökasvatuksen Seura ryVihreä lippu -ympäristöohjelma,25,6,06 Järjestötoiminta
157,"25Suomen Vanhempainliitto ry, Finlands Föräldraförbund rfKodin ja päiväkodin / koulun yhteistyön kehittäminen varhaiskasvatuksessa ja koulutuksessa / järjestöille myönnettävät avustukset",25,6,06 Järjestötoiminta
158,25Oulun kristillinen kasvatus ry.KouluPlus - kristillisten koulujen kerho- ja harrastetoiminnan kehittämishanke ,25,6,06 Järjestötoiminta
159,25Porin Kristillisen koulun kannatusyhdistys ryKouluPlus Porissa - Kristillisten koulujen kerho- ja harrastetoiminnan kehittämishanke,25,6,06 Järjestötoiminta
160,25Biologian ja maantieteen opettajien liitto BMOL ry.Lukiolaisten kansalliset biologian ja maantieteen kokeet sekä kansainvälinen olympiatoiminta,25,6,06 Järjestötoiminta
161,25Suomi-Seura rySuomi-koulujen toiminta,25,6,06 Järjestötoiminta
162,25Matemaattisten Aineiden Opettajien Liitto MAOL ryNeljän tieteen kilpailut ja tiedeolympialaiset,25,6,06 Järjestötoiminta
163,25Jyväskylän kristillisen koulun yhdistys ryKerhotoiminta kukoistamaan,25,6,06 Järjestötoiminta
164,25Suomi-Saksa Yhdistysten Liitto ryOppilasvaihto Suomi - Saksa - Suomi,25,6,06 Järjestötoiminta
165,25AFS Intercultural Finland ry.Kansainvälinen vaihto-oppilasohjelma,25,6,06 Järjestötoiminta
166,"25Espoon kristillisen koulun kannatusyhdistys ryKouluPlus Espoossa – tiedettä, taidetta, toimintaa",25,6,06 Järjestötoiminta
167,25Kuopion kristillinen yhtenäiskouluKukrin kerhohanke 2,25,6,06 Järjestötoiminta
168,25Svenska folkskolans vänner rf.Nomadskolan,25,6,06 Järjestötoiminta
169,25Förbundet Hem och Skola i Finland rfAllmänt verksamhetsbidrag,25,6,06 Järjestötoiminta
170,25KansanvalistusseuraEtäkoulu Kulkuri,25,6,06 Järjestötoiminta
171,25Kehittämiskeskus Opinkirjo ryPeruskoulun oppilaskuntatoiminnan tukeminen ja Tutki-Kokeile-kehitä-toiminta,25,6,06 Järjestötoiminta
172,"25Suomen lasten ja nuorten kuvataidekoulujen liitto ryTaiteen perusopetuksen koulutus- ja tiedotustoiminta, pedagoginen ja muu kehittämistyö",25,6,06 Järjestötoiminta
173,25Lahden seudun kristillisen koulun kannatusyhdistys ryKouluPlus,25,6,06 Järjestötoiminta
