Unnamed: 0,personnel-costs-row.amount,material-costs-row.amount,rent-costs-row.amount,service-purchase-costs-row.amount,steamship-costs-row.amount,other-costs-row.amount,equipment-costs-row.amount,coordination-costs-row.amount,other-costs-row-2.amount,personnel-costs-row.amount-18,material-costs-row.amount-18,menotamount,project-incomes-row.amount,own-income-row.amount,eu-programs-income-row.amount,other-public-financing-income-row.amount,private-financing-income-row.amount,tulotamount,summaamount,SummienTodennakoisyys,radioButton-good-practices,organization_name,project_name,ei-tuotos-tyyppia,henkiloestoeliikkuvuudet-lkm,julkaisut,kasikirja,koulutus,muu-tuotos,ohjelma,opiskelijaliikkuvuudet-lkm,raportti,selvitys,tapahtuma,toimintamalli,tutkimus,verkkosivut,min,max,std,mean,sum,haku_id,osa_alue_id,osa_alue_nimi,poikkeavuus
57Vesannon yhtenäiskouluOPS2016 todeksi.,154.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0,-291.0,98.0760599938955,0,Vesannon yhtenäiskoulu,OPS2016 todeksi.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,57,2,02 Esi- ja perusopetus,230.6160212219642
57Pieksämäen kaupunkiTutoropettajien koulutus ja osaamisen kehittäminen,3641.0,0.0,0.0,4941.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8582.0,0.0,0.0,0.0,0.0,0.0,0.0,-8582.0,97.32692387056237,0,Pieksämäen kaupunki,Tutoropettajien koulutus ja osaamisen kehittäminen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.1,-0.1,0.0,-0.1,1.0,57,2,02 Esi- ja perusopetus,230.23830506584898
57Vesilahden kuntaPirkanmaan tutoropettajien koulutusohjelma,2524.0,0.0,0.0,1777.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,4500.0,0.0,0.0,0.0,0.0,0.0,0.0,-4500.0,98.24047686074863,0,Vesilahden kunta,Pirkanmaan tutoropettajien koulutusohjelma,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9,0.26694219766866023,0.4444444444444445,3.0,57,2,02 Esi- ja perusopetus,230.0548616677163
57Rautjärven kuntaTietotaitoa bitteihin,500.0,0.0,0.0,1050.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,1750.0,0.0,0.0,0.0,0.0,0.0,0.0,-1750.0,98.19796572787571,0,Rautjärven kunta,Tietotaitoa bitteihin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,57,2,02 Esi- ja perusopetus,230.82585102049018
57Laihian kuntaNuukailematta paras,4659.0,246.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,4933.0,0.0,0.0,0.0,0.0,0.0,0.0,-4933.0,96.26567186562849,0,Laihian kunta,Nuukailematta paras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,57,2,02 Esi- ja perusopetus,230.6061774861088
57Siuntion kuntaMonipuolista tutorointia - opettaja tulevaisuuden taitojen edistäjä,368.0,0.0,0.0,5174.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,5559.0,0.0,0.0,0.0,0.0,0.0,0.0,-5559.0,97.12435727897707,0,Siuntion kunta,Monipuolista tutorointia - opettaja tulevaisuuden taitojen edistäjä,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.4949747468305832,0.35,1.0,57,2,02 Esi- ja perusopetus,230.84938799785255
57Utajärven kuntaTukea tutorista - virtaa verkosta!,750.0,0.0,0.0,3200.0,0.0,1143.0,0.0,0.0,0.0,0.0,0.0,5093.0,2400.0,0.0,0.0,0.0,0.0,2400.0,-2693.0,95.10845959897854,0,Utajärven kunta,Tukea tutorista - virtaa verkosta!,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.28284271247461906,0.2,2.0,57,2,02 Esi- ja perusopetus,231.28764675461957
57Ylöjärven kaupunkiPirkanmaan tutoropettajien koulutusohjelma,9253.0,0.0,242.0,9338.0,1002.0,0.0,0.0,0.0,0.0,0.0,0.0,19835.0,0.0,0.0,0.0,0.0,0.0,0.0,-19835.0,92.89230632465096,0,Ylöjärven kaupunki,Pirkanmaan tutoropettajien koulutusohjelma,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.1,0.0,0.03333333333333333,3.0,57,2,02 Esi- ja perusopetus,230.74426539454163
57Taipalsaaren kuntaTaipalsaaren tutoropettajien koulutus,564.0,0.0,0.0,3457.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,4099.0,0.0,0.0,0.0,0.0,0.0,0.0,-4099.0,97.83672078332258,0,Taipalsaaren kunta,Taipalsaaren tutoropettajien koulutus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.0,57,2,02 Esi- ja perusopetus,230.17649416723538
57Hyrynsalmen kuntaHyrynsalmen tutoropettajien koulutus,0.0,0.0,0.0,1145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1145.0,0.0,0.0,0.0,0.0,0.0,0.0,-1145.0,98.06936125903408,0,Hyrynsalmen kunta,Hyrynsalmen tutoropettajien koulutus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4242640687119285,0.3,0.0,57,2,02 Esi- ja perusopetus,230.61590602495676
